model,task_count,sleep_ms,elapsed_ms,configured_user_stack_bytes_per_task,estimated_user_stack_reserved_bytes,user_stack_reserved_bytes_per_task,future_state_bytes_per_task,estimated_future_state_bytes,peak_kernel_threads,kernel_threads_per_task,configured_kernel_stack_bytes_per_thread,estimated_kernel_stack_reserved_bytes,kernel_stack_reserved_bytes_per_task,total_stack_reserved_bytes_per_task,peak_running_kernel_threads,peak_sleeping_kernel_threads,peak_uninterruptible_kernel_threads,peak_blocked_kernel_threads,avg_kernel_threads,avg_running_kernel_threads,avg_sleeping_kernel_threads,kernel_stack_slots_per_1000_tasks,dominant_wait_channel,dominant_wait_channel_count,peak_rss_bytes,peak_vm_size_bytes,peak_vm_stack_bytes,proc_status_kernel_stack_bytes,sample_count,notes
os_thread,1000,10,82,65536,65536000,65536.0,0,0,984,0.984,16384,16121856,16121.856,81657.856,221,904,78,932,309.6,56.2,231.8,984.0,futex_wait_queue_me,760,20062208,2162184192,139264,0,5,checksum=0; user_stack_reserved = task_count * configured OS thread stack
green_thread,1000,10,19,65536,65536000,65536.0,0,0,7,0.007,16384,114688,114.688,65650.688,6,6,0,6,6.0,2.2,3.8,7.0,ep_poll,4,20004864,949813248,167936,0,5,checksum=0; user_stack_reserved = task_count * configured may coroutine stack
green_thread,10000,10,186,65536,655360000,65536.0,0,0,7,0.0007,16384,114688,11.4688,65547.4688,7,6,1,6,6.864864864864865,3.5135135135135136,3.27027027027027,0.7,ep_poll,4,166846464,5709086720,167936,0,37,checksum=0; user_stack_reserved = task_count * configured may coroutine stack
async_future,1000,10,12,0,0,0.0,168,168000,6,0.006,16384,98304,98.304,98.304,6,5,0,5,5.0,2.25,2.75,6.0,futex_wait_queue_me,5,4231168,352133120,139264,0,4,checksum=0; future_state_bytes is size_of_val(sample_async_task(...)); Tokio task allocation overhead is reflected in RSS
async_future,10000,10,19,0,0,0.0,168,1680000,6,0.0006,16384,98304,9.8304,9.8304,6,5,0,5,5.2,2.8,2.4,0.6,futex_wait_queue_me,5,9572352,357404672,139264,0,5,checksum=0; future_state_bytes is size_of_val(sample_async_task(...)); Tokio task allocation overhead is reflected in RSS
async_future,50000,10,61,0,0,0.0,168,8400000,6,0.00012,16384,98304,1.96608,1.96608,5,4,0,4,5.6923076923076925,3.923076923076923,1.7692307692307692,0.12,futex_wait_queue_me,4,32526336,380784640,139264,0,13,checksum=0; future_state_bytes is size_of_val(sample_async_task(...)); Tokio task allocation overhead is reflected in RSS
async_future,100000,10,133,0,0,0.0,168,16800000,6,0.00006,16384,98304,0.98304,0.98304,5,4,0,4,5.851851851851852,3.5925925925925926,2.259259259259259,0.06,futex_wait_queue_me,4,61673472,409841664,139264,0,27,checksum=0; future_state_bytes is size_of_val(sample_async_task(...)); Tokio task allocation overhead is reflected in RSS
